Date;Time;pH Output
May 31, 2023;12:44:27 PM;-21,60
May 31, 2023;12:44:32 PM;-21,59
May 31, 2023;12:44:37 PM;-21,59
May 31, 2023;12:44:47 PM;-21,57
May 31, 2023;12:44:52 PM;-21,57
May 31, 2023;12:44:57 PM;-21,56
May 31, 2023;12:45:02 PM;-21,55
May 31, 2023;12:45:07 PM;-21,54
May 31, 2023;12:45:12 PM;-21,54
May 31, 2023;12:45:17 PM;-21,54
May 31, 2023;12:45:22 PM;-21,53
May 31, 2023;12:45:32 PM;-21,52
May 31, 2023;12:45:37 PM;-21,51
May 31, 2023;12:45:42 PM;-21,50
May 31, 2023;12:45:47 PM;-21,50
May 31, 2023;12:45:52 PM;-21,49
May 31, 2023;12:45:57 PM;-21,47
May 31, 2023;12:46:07 PM;-21,46
May 31, 2023;12:46:12 PM;-21,45
May 31, 2023;12:46:17 PM;-21,45
May 31, 2023;12:46:27 PM;-21,44
May 31, 2023;12:46:32 PM;-21,43
May 31, 2023;12:46:37 PM;-21,43
May 31, 2023;12:46:42 PM;-21,42
May 31, 2023;12:46:47 PM;-21,42
May 31, 2023;12:46:52 PM;-21,41
May 31, 2023;12:46:57 PM;-21,41
May 31, 2023;12:47:02 PM;-21,41
May 31, 2023;12:47:07 PM;-21,40
May 31, 2023;12:47:12 PM;-21,40
May 31, 2023;12:47:17 PM;-21,39
May 31, 2023;12:47:22 PM;-21,37
May 31, 2023;12:47:27 PM;-21,36
May 31, 2023;12:47:32 PM;-21,36
May 31, 2023;12:47:37 PM;-21,35
May 31, 2023;12:47:42 PM;-21,33
May 31, 2023;12:47:47 PM;-21,33
May 31, 2023;12:47:52 PM;-21,33
May 31, 2023;12:47:57 PM;-21,31
May 31, 2023;12:48:07 PM;-21,31
May 31, 2023;12:48:12 PM;-21,30
May 31, 2023;12:48:17 PM;-21,29
May 31, 2023;12:48:22 PM;-21,29
May 31, 2023;12:48:27 PM;-21,29
May 31, 2023;12:48:32 PM;-21,29
May 31, 2023;12:48:37 PM;-21,28
May 31, 2023;12:48:42 PM;-21,28
May 31, 2023;12:48:47 PM;-21,27
May 31, 2023;12:48:52 PM;-21,27
May 31, 2023;12:48:57 PM;-21,27
May 31, 2023;12:49:02 PM;-21,25
May 31, 2023;12:49:07 PM;-21,25
May 31, 2023;12:49:12 PM;-21,23
May 31, 2023;12:49:17 PM;-21,23
May 31, 2023;12:49:22 PM;-21,22
May 31, 2023;12:49:27 PM;-21,21
May 31, 2023;12:49:32 PM;-21,21
May 31, 2023;12:49:37 PM;-21,19
May 31, 2023;12:49:42 PM;-21,18
May 31, 2023;12:49:47 PM;-21,18
May 31, 2023;12:49:52 PM;-21,18
May 31, 2023;12:49:57 PM;-21,17
May 31, 2023;12:50:02 PM;-21,17
May 31, 2023;12:50:07 PM;-21,17
May 31, 2023;12:50:12 PM;-21,16
May 31, 2023;12:50:17 PM;-21,16
May 31, 2023;12:50:22 PM;-21,15
May 31, 2023;12:50:27 PM;-21,15
May 31, 2023;12:50:32 PM;-21,15
May 31, 2023;12:50:37 PM;-21,14
May 31, 2023;12:50:42 PM;-21,14
May 31, 2023;12:50:47 PM;-21,13
May 31, 2023;12:50:52 PM;-21,12
May 31, 2023;12:50:57 PM;-21,10
May 31, 2023;12:51:02 PM;-21,10
May 31, 2023;12:51:07 PM;-21,09
May 31, 2023;12:51:12 PM;-21,08
May 31, 2023;12:51:22 PM;-21,07
May 31, 2023;12:51:27 PM;-21,06
May 31, 2023;12:51:32 PM;-21,05
May 31, 2023;12:51:42 PM;-21,04
May 31, 2023;12:51:47 PM;-21,04
May 31, 2023;12:51:52 PM;-21,04
May 31, 2023;12:51:57 PM;-21,03
May 31, 2023;12:52:02 PM;-21,03
May 31, 2023;12:52:07 PM;-21,02
May 31, 2023;12:52:12 PM;-21,02
May 31, 2023;12:52:17 PM;-21,02
May 31, 2023;12:52:22 PM;-21,01
May 31, 2023;12:52:32 PM;-21,00
May 31, 2023;12:52:37 PM;-20,99
May 31, 2023;12:52:42 PM;-20,98
May 31, 2023;12:52:52 PM;-20,97
May 31, 2023;12:52:57 PM;-20,95
May 31, 2023;12:53:02 PM;-20,95
May 31, 2023;12:53:12 PM;-20,94
May 31, 2023;12:53:17 PM;-21,12
May 31, 2023;12:53:22 PM;-21,11
May 31, 2023;12:53:27 PM;-21,22
May 31, 2023;12:53:37 PM;-21,47
May 31, 2023;12:53:42 PM;-21,87
May 31, 2023;12:53:47 PM;-22,14
May 31, 2023;12:53:52 PM;-22,36
May 31, 2023;12:53:57 PM;-22,36
May 31, 2023;12:54:02 PM;-22,43
May 31, 2023;12:54:12 PM;-22,59
May 31, 2023;12:54:17 PM;-22,92
May 31, 2023;12:54:22 PM;-22,93
May 31, 2023;12:54:27 PM;-22,87
May 31, 2023;12:54:32 PM;-22,87
May 31, 2023;12:54:37 PM;-22,91
May 31, 2023;12:54:42 PM;-22,89
May 31, 2023;12:54:47 PM;-22,89
May 31, 2023;12:54:52 PM;-22,89
May 31, 2023;12:54:57 PM;-22,91
May 31, 2023;12:55:02 PM;-22,87
May 31, 2023;12:55:07 PM;-22,88
May 31, 2023;12:55:12 PM;-22,72
May 31, 2023;12:55:17 PM;-22,71
May 31, 2023;12:55:22 PM;-22,71
May 31, 2023;12:55:27 PM;-22,52
May 31, 2023;12:55:32 PM;-22,47
May 31, 2023;12:55:37 PM;-22,40
May 31, 2023;12:55:42 PM;-22,40
May 31, 2023;12:55:47 PM;-22,20
May 31, 2023;12:55:52 PM;-22,12
May 31, 2023;12:55:57 PM;-22,13
May 31, 2023;12:56:07 PM;-21,86
May 31, 2023;12:56:12 PM;-21,71
May 31, 2023;12:56:17 PM;-21,71
May 31, 2023;12:56:27 PM;-21,45
May 31, 2023;12:56:37 PM;-21,17
May 31, 2023;12:56:42 PM;-21,07
May 31, 2023;12:56:47 PM;-21,07
May 31, 2023;12:56:52 PM;-20,96
May 31, 2023;12:56:57 PM;-20,74
May 31, 2023;12:57:02 PM;-20,66
May 31, 2023;12:57:07 PM;-20,66
May 31, 2023;12:57:12 PM;-20,57
May 31, 2023;12:57:17 PM;0,00
May 31, 2023;1:11:17 PM;-18,19
May 31, 2023;1:11:22 PM;-16,94
May 31, 2023;1:11:27 PM;-15,40
May 31, 2023;1:11:37 PM;-11,95
May 31, 2023;1:11:42 PM;-10,21
May 31, 2023;1:11:47 PM;-8,18
May 31, 2023;1:11:52 PM;-6,22
May 31, 2023;1:11:57 PM;-4,25
May 31, 2023;1:12:02 PM;-1,98
May 31, 2023;1:12:07 PM;0,39
May 31, 2023;1:12:12 PM;2,72
May 31, 2023;1:12:17 PM;5,05
May 31, 2023;1:12:22 PM;7,39
May 31, 2023;1:12:27 PM;9,75
May 31, 2023;1:12:32 PM;12,10
May 31, 2023;1:12:37 PM;14,45
May 31, 2023;1:12:42 PM;16,82
May 31, 2023;1:12:47 PM;19,56
May 31, 2023;1:12:52 PM;21,05
May 31, 2023;1:12:57 PM;21,11
May 31, 2023;1:13:02 PM;21,19
May 31, 2023;1:13:07 PM;21,19
May 31, 2023;1:13:12 PM;21,10
May 31, 2023;1:13:17 PM;21,10
May 31, 2023;1:13:27 PM;20,98
May 31, 2023;1:13:32 PM;20,76
May 31, 2023;1:13:42 PM;20,65
May 31, 2023;1:13:47 PM;0,00
May 31, 2023;1:14:00 PM;0,00
May 31, 2023;1:14:21 PM;0,00
May 31, 2023;1:16:32 PM;0,00
May 31, 2023;1:16:42 PM;20,50
May 31, 2023;1:16:47 PM;20,52
May 31, 2023;1:16:57 PM;0,00
May 31, 2023;1:17:25 PM;0,00
May 31, 2023;1:22:12 PM;20,50
May 31, 2023;1:22:17 PM;20,52
May 31, 2023;1:22:22 PM;20,52
May 31, 2023;1:22:28 PM;0,00
May 31, 2023;1:22:35 PM;0,00
May 31, 2023;1:27:18 PM;20,51
May 31, 2023;1:27:23 PM;20,52
May 31, 2023;1:27:28 PM;0,00
May 31, 2023;1:28:17 PM;0,00
May 31, 2023;1:29:23 PM;20,50
May 31, 2023;1:29:28 PM;20,50
May 31, 2023;1:29:33 PM;0,00
May 31, 2023;1:37:28 PM;20,50
May 31, 2023;1:37:33 PM;20,51
May 31, 2023;1:37:38 PM;20,51
May 31, 2023;1:37:43 PM;0,00
May 31, 2023;1:44:18 PM;20,50
May 31, 2023;1:44:23 PM;20,50
May 31, 2023;1:44:28 PM;0,00
May 31, 2023;1:49:13 PM;20,50
May 31, 2023;1:49:18 PM;20,50
May 31, 2023;1:49:23 PM;0,00
May 31, 2023;1:57:58 PM;20,51
May 31, 2023;1:58:03 PM;20,51
May 31, 2023;1:58:08 PM;20,51
May 31, 2023;2:05:08 PM;20,50
May 31, 2023;2:05:13 PM;20,51
May 31, 2023;2:05:18 PM;0,00
May 31, 2023;2:12:33 PM;20,50
May 31, 2023;2:12:38 PM;20,50
May 31, 2023;2:12:43 PM;20,51
May 31, 2023;2:12:48 PM;0,00
May 31, 2023;2:19:48 PM;20,51
May 31, 2023;2:19:53 PM;20,52
May 31, 2023;2:19:58 PM;20,52
May 31, 2023;2:27:24 PM;20,51
May 31, 2023;2:27:29 PM;0,00
May 31, 2023;2:31:49 PM;20,51
May 31, 2023;2:31:59 PM;0,00
May 31, 2023;2:39:24 PM;20,51
May 31, 2023;2:39:29 PM;20,51
May 31, 2023;2:39:34 PM;20,52
May 31, 2023;2:39:39 PM;0,00
May 31, 2023;2:46:54 PM;20,51
May 31, 2023;2:47:04 PM;20,51
May 31, 2023;2:47:09 PM;0,00
May 31, 2023;2:56:14 PM;20,50
May 31, 2023;2:56:19 PM;20,52
May 31, 2023;2:56:24 PM;20,52
May 31, 2023;2:56:29 PM;0,00
May 31, 2023;2:56:34 PM;18,22
May 31, 2023;2:56:39 PM;0,00
May 31, 2023;3:05:04 PM;20,53
May 31, 2023;3:05:09 PM;20,51
May 31, 2023;3:05:19 PM;18,22
May 31, 2023;3:05:24 PM;0,00
May 31, 2023;3:13:49 PM;20,52
May 31, 2023;3:13:59 PM;0,00
May 31, 2023;3:18:29 PM;20,51
May 31, 2023;3:18:34 PM;20,51
May 31, 2023;3:18:39 PM;0,00
May 31, 2023;3:25:24 PM;20,51
May 31, 2023;3:25:29 PM;20,52
May 31, 2023;3:25:34 PM;20,52
May 31, 2023;3:25:39 PM;0,00
May 31, 2023;3:25:49 PM;0,00
May 31, 2023;3:25:59 PM;15,81
May 31, 2023;3:26:04 PM;13,85
May 31, 2023;3:26:09 PM;11,86
May 31, 2023;3:26:14 PM;8,87
May 31, 2023;3:26:19 PM;5,68
May 31, 2023;3:26:24 PM;0,92
May 31, 2023;3:26:29 PM;-3,34
May 31, 2023;3:26:34 PM;-7,56
May 31, 2023;3:26:39 PM;-11,72
May 31, 2023;3:26:44 PM;-15,89
May 31, 2023;3:26:54 PM;-21,90
May 31, 2023;3:26:59 PM;-22,09
May 31, 2023;3:27:04 PM;-22,09
May 31, 2023;3:27:14 PM;-22,52
May 31, 2023;3:27:19 PM;-22,52
May 31, 2023;3:27:24 PM;-22,67
May 31, 2023;3:27:34 PM;-23,03
May 31, 2023;3:27:39 PM;-23,03
May 31, 2023;3:27:44 PM;-23,08
May 31, 2023;3:27:49 PM;-23,16
May 31, 2023;3:27:54 PM;-23,16
May 31, 2023;3:27:59 PM;-23,24
May 31, 2023;3:28:04 PM;-23,36
May 31, 2023;3:28:09 PM;-23,40
May 31, 2023;3:28:14 PM;-23,40
May 31, 2023;3:28:19 PM;-23,39
May 31, 2023;3:28:24 PM;-23,41
May 31, 2023;3:28:29 PM;-23,41
May 31, 2023;3:28:34 PM;-23,34
May 31, 2023;3:28:39 PM;-23,30
May 31, 2023;3:28:44 PM;-23,30
May 31, 2023;3:28:54 PM;-23,27
May 31, 2023;3:28:59 PM;-23,25
May 31, 2023;3:29:09 PM;-23,23
May 31, 2023;3:29:14 PM;-23,13
May 31, 2023;3:29:19 PM;-23,04
May 31, 2023;3:29:24 PM;-23,05
May 31, 2023;3:29:29 PM;-22,91
May 31, 2023;3:29:34 PM;-22,85
May 31, 2023;3:29:39 PM;-22,85
May 31, 2023;3:29:49 PM;-22,60
May 31, 2023;3:29:54 PM;-22,56
May 31, 2023;3:29:59 PM;-22,56
May 31, 2023;3:30:05 PM;-22,44
May 31, 2023;3:30:10 PM;-22,26
May 31, 2023;3:30:20 PM;-22,21
May 31, 2023;3:30:25 PM;-22,01
May 31, 2023;3:30:30 PM;-21,86
May 31, 2023;3:30:35 PM;-21,87
May 31, 2023;3:30:40 PM;-21,75
May 31, 2023;3:30:45 PM;-21,66
May 31, 2023;3:30:50 PM;-21,66
May 31, 2023;3:30:55 PM;-21,53
May 31, 2023;3:31:00 PM;-21,38
May 31, 2023;3:31:05 PM;-21,23
May 31, 2023;3:31:10 PM;-21,24
May 31, 2023;3:31:15 PM;-21,17
May 31, 2023;3:31:25 PM;-20,94
May 31, 2023;3:31:30 PM;-20,83
May 31, 2023;3:31:35 PM;-20,76
May 31, 2023;3:31:40 PM;-20,58
May 31, 2023;3:31:45 PM;-20,59
May 31, 2023;3:31:50 PM;0,00
May 31, 2023;3:40:35 PM;-18,20
May 31, 2023;3:40:45 PM;-15,63
May 31, 2023;3:40:50 PM;-13,86
May 31, 2023;3:41:00 PM;-9,66
May 31, 2023;3:41:05 PM;-7,64
May 31, 2023;3:41:10 PM;-5,17
May 31, 2023;3:41:15 PM;-2,80
May 31, 2023;3:41:20 PM;-0,44
May 31, 2023;3:41:25 PM;1,95
May 31, 2023;3:41:30 PM;4,37
May 31, 2023;3:41:40 PM;9,24
May 31, 2023;3:41:45 PM;11,70
May 31, 2023;3:41:55 PM;17,15
May 31, 2023;3:42:00 PM;20,11
May 31, 2023;3:42:10 PM;21,31
May 31, 2023;3:42:15 PM;21,31
May 31, 2023;3:42:20 PM;21,25
May 31, 2023;3:42:30 PM;21,21
May 31, 2023;3:42:35 PM;20,90
May 31, 2023;3:42:40 PM;20,63
May 31, 2023;3:42:45 PM;0,00
May 31, 2023;3:44:40 PM;20,51
May 31, 2023;3:44:45 PM;20,53
May 31, 2023;3:44:55 PM;0,00
May 31, 2023;3:49:45 PM;20,51
May 31, 2023;3:49:50 PM;20,51
May 31, 2023;3:49:55 PM;20,51
May 31, 2023;3:50:00 PM;0,00
May 31, 2023;3:54:15 PM;20,51
May 31, 2023;3:54:20 PM;20,52
May 31, 2023;3:54:25 PM;20,53
May 31, 2023;3:54:30 PM;20,53
May 31, 2023;3:54:35 PM;0,00
May 31, 2023;3:58:20 PM;20,50
May 31, 2023;3:58:25 PM;20,51
May 31, 2023;3:58:30 PM;0,00
May 31, 2023;4:03:05 PM;20,51
May 31, 2023;4:03:15 PM;20,52
May 31, 2023;4:03:20 PM;0,00
May 31, 2023;4:07:05 PM;20,51
May 31, 2023;4:07:10 PM;20,52
May 31, 2023;4:07:15 PM;0,00
May 31, 2023;4:09:25 PM;20,51
May 31, 2023;4:09:35 PM;0,00
May 31, 2023;4:14:40 PM;20,50
May 31, 2023;4:14:45 PM;20,52
May 31, 2023;4:14:50 PM;0,00
May 31, 2023;4:17:35 PM;20,50
May 31, 2023;4:17:45 PM;0,00
May 31, 2023;4:21:30 PM;20,51
May 31, 2023;4:21:35 PM;20,52
May 31, 2023;4:21:40 PM;20,53
May 31, 2023;4:21:45 PM;0,00
May 31, 2023;4:25:45 PM;20,50
May 31, 2023;4:25:50 PM;20,52
May 31, 2023;4:25:55 PM;0,00
May 31, 2023;4:31:20 PM;20,51
May 31, 2023;4:31:25 PM;20,52
May 31, 2023;4:31:30 PM;20,52
May 31, 2023;4:31:35 PM;0,00
May 31, 2023;4:37:16 PM;20,50
May 31, 2023;4:37:26 PM;20,52
May 31, 2023;4:37:31 PM;0,00
May 31, 2023;4:43:21 PM;20,51
May 31, 2023;4:43:26 PM;20,53
May 31, 2023;4:43:31 PM;20,53
May 31, 2023;4:43:36 PM;0,00
May 31, 2023;4:49:26 PM;20,51
May 31, 2023;4:49:31 PM;0,00
May 31, 2023;4:52:36 PM;20,51
May 31, 2023;4:52:41 PM;20,52
May 31, 2023;4:52:46 PM;0,00
May 31, 2023;4:55:41 PM;20,50
May 31, 2023;4:55:46 PM;20,50
May 31, 2023;4:55:51 PM;0,00
May 31, 2023;5:01:41 PM;20,50
May 31, 2023;5:01:46 PM;20,52
May 31, 2023;5:01:56 PM;0,00
May 31, 2023;5:07:56 PM;20,50
May 31, 2023;5:08:01 PM;20,50
May 31, 2023;5:08:06 PM;20,51
May 31, 2023;5:08:11 PM;0,00
May 31, 2023;5:12:16 PM;20,50
May 31, 2023;5:12:21 PM;20,50
May 31, 2023;5:12:26 PM;0,00
May 31, 2023;5:12:55 PM;0,00
May 31, 2023;5:14:30 PM;0,00
May 31, 2023;5:17:31 PM;20,51
May 31, 2023;5:17:36 PM;20,52
May 31, 2023;5:17:41 PM;0,00
May 31, 2023;5:22:01 PM;20,51
May 31, 2023;5:22:06 PM;20,51
May 31, 2023;5:22:11 PM;0,00
May 31, 2023;5:26:41 PM;20,50
May 31, 2023;5:26:46 PM;20,50
May 31, 2023;5:26:51 PM;0,00
May 31, 2023;5:31:21 PM;20,51
May 31, 2023;5:31:26 PM;20,51
May 31, 2023;5:33:21 PM;20,51
May 31, 2023;5:36:01 PM;20,52
May 31, 2023;5:36:06 PM;20,52
May 31, 2023;5:36:11 PM;0,00
May 31, 2023;5:40:42 PM;20,50
May 31, 2023;5:40:47 PM;20,50
May 31, 2023;5:40:57 PM;0,00
May 31, 2023;5:45:32 PM;20,50
May 31, 2023;5:45:37 PM;20,52
May 31, 2023;5:45:42 PM;0,00
May 31, 2023;5:50:07 PM;20,51
May 31, 2023;5:50:12 PM;20,53
May 31, 2023;5:50:17 PM;20,53
May 31, 2023;5:55:07 PM;20,51
May 31, 2023;5:55:12 PM;20,53
May 31, 2023;5:55:17 PM;20,53
May 31, 2023;5:55:22 PM;0,00
May 31, 2023;6:00:17 PM;20,50
May 31, 2023;6:00:22 PM;20,52
May 31, 2023;6:00:27 PM;0,00
May 31, 2023;6:03:12 PM;20,52
May 31, 2023;6:03:17 PM;20,53
May 31, 2023;6:03:22 PM;0,00
May 31, 2023;6:08:12 PM;20,50
May 31, 2023;6:08:17 PM;20,52
May 31, 2023;6:08:22 PM;20,52
May 31, 2023;6:08:27 PM;0,00
May 31, 2023;6:12:37 PM;20,50
May 31, 2023;6:12:42 PM;0,00
May 31, 2023;6:15:17 PM;20,51
May 31, 2023;6:15:22 PM;20,51
May 31, 2023;6:15:27 PM;0,00
May 31, 2023;6:17:52 PM;20,51
May 31, 2023;6:17:57 PM;20,51
May 31, 2023;6:18:02 PM;20,51
May 31, 2023;6:23:47 PM;20,51
May 31, 2023;6:23:52 PM;20,51
May 31, 2023;6:23:57 PM;0,00
May 31, 2023;6:26:07 PM;20,51
May 31, 2023;6:26:17 PM;0,00
May 31, 2023;6:31:17 PM;20,52
May 31, 2023;6:31:22 PM;20,54
May 31, 2023;6:31:27 PM;20,54
May 31, 2023;6:31:32 PM;0,00
May 31, 2023;6:35:52 PM;20,51
May 31, 2023;6:35:57 PM;20,53
May 31, 2023;6:38:57 PM;20,51
May 31, 2023;6:39:02 PM;20,51
May 31, 2023;6:39:07 PM;20,53
May 31, 2023;6:39:12 PM;0,00
May 31, 2023;6:44:08 PM;20,51
May 31, 2023;6:44:13 PM;20,53
May 31, 2023;6:44:18 PM;20,53
May 31, 2023;6:44:23 PM;0,00
May 31, 2023;6:48:48 PM;20,51
May 31, 2023;6:48:53 PM;20,51
May 31, 2023;6:48:58 PM;20,53
May 31, 2023;6:49:03 PM;0,00
May 31, 2023;6:49:18 PM;17,74
May 31, 2023;6:49:23 PM;16,42
May 31, 2023;6:49:28 PM;14,99
May 31, 2023;6:49:38 PM;10,21
May 31, 2023;6:49:43 PM;6,61
May 31, 2023;6:49:53 PM;0,21
May 31, 2023;6:49:58 PM;-2,88
May 31, 2023;6:50:03 PM;-5,99
May 31, 2023;6:50:08 PM;-9,03
May 31, 2023;6:50:13 PM;-11,98
May 31, 2023;6:50:18 PM;-15,93
May 31, 2023;6:50:23 PM;-19,58
May 31, 2023;6:50:33 PM;-21,72
May 31, 2023;6:50:38 PM;-21,72
May 31, 2023;6:50:43 PM;-21,95
May 31, 2023;6:50:48 PM;-22,23
May 31, 2023;6:50:53 PM;-22,36
May 31, 2023;6:50:58 PM;-22,36
May 31, 2023;6:51:03 PM;-22,50
May 31, 2023;6:51:08 PM;-22,68
May 31, 2023;6:51:13 PM;-22,68
May 31, 2023;6:51:23 PM;-22,98
May 31, 2023;6:51:33 PM;-22,99
May 31, 2023;6:51:38 PM;-23,02
May 31, 2023;6:51:43 PM;-23,01
May 31, 2023;6:51:48 PM;-23,01
May 31, 2023;6:51:53 PM;-23,09
May 31, 2023;6:51:58 PM;-23,09
May 31, 2023;6:52:08 PM;-23,09
May 31, 2023;6:52:18 PM;-22,99
May 31, 2023;6:52:23 PM;-23,00
May 31, 2023;6:52:28 PM;-22,98
May 31, 2023;6:52:33 PM;-22,90
May 31, 2023;6:52:38 PM;-22,88
May 31, 2023;6:52:43 PM;-22,88
May 31, 2023;6:52:48 PM;-22,84
May 31, 2023;6:52:53 PM;-22,70
May 31, 2023;6:52:58 PM;-22,70
May 31, 2023;6:53:03 PM;-22,64
May 31, 2023;6:53:08 PM;-22,56
May 31, 2023;6:53:13 PM;-22,42
May 31, 2023;6:53:18 PM;-22,43
May 31, 2023;6:53:28 PM;-22,23
May 31, 2023;6:53:33 PM;-22,23
